Journee;Date de fin de la journee;Date de debut de la journee;Equipe a domicile;Equipe a l'exterieur;Buts domicile;Buts exterieur
11;2017-10-29;2017-10-27;Dijon Football Côte d'Or;FC Nantes;1;0
11;2017-10-29;2017-10-27;Toulouse Football Club;AS Saint-etienne;0;0
16;2017-12-03;2017-12-01;Dijon Football Côte d'Or;FC Girondins de Bordeaux;3;2
17;2017-12-10;2017-12-08;Toulouse Football Club;Stade Malherbe Caen;2;0
13;2017-11-19;2017-11-17;LOSC;AS Saint-etienne;3;1
18;2017-12-17;2017-12-15;Esperance Sportive Troyes Aube Champagne;Amiens SC;1;0
14;2017-11-26;2017-11-24;Dijon Football Côte d'Or;Toulouse Football Club;3;1
8;2017-11-20;2017-09-29;Stade Rennais Football Club;Stade Malherbe Caen;0;1
12;2017-11-05;2017-11-03;Olympique de Marseille;Stade Malherbe Caen;5;0
10;2017-10-22;2017-10-20;OGC Nice;Racing Club Strasbourg Alsace;1;2
11;2017-10-29;2017-10-27;FC Girondins de Bordeaux;AS Monaco;0;2
11;2017-10-29;2017-10-27;LOSC;Olympique de Marseille;0;1
13;2017-11-19;2017-11-17;Dijon Football Côte d'Or;Esperance Sportive Troyes Aube Champagne;3;1
19;2017-12-20;2017-12-20;En Avant de Guingamp;AS Saint-etienne;2;1
9;2017-10-15;2017-10-13;Toulouse Football Club;Amiens SC;1;0
16;2017-12-03;2017-12-01;OGC Nice;Football Club de Metz;3;1
6;2017-09-17;2017-09-15;AS Monaco;Racing Club Strasbourg Alsace;3;0
6;2017-09-17;2017-09-15;FC Nantes;Stade Malherbe Caen;1;0
6;2017-09-17;2017-09-15;Esperance Sportive Troyes Aube Champagne;Montpellier Heraut SC;0;1
1;2017-08-06;2017-08-04;Esperance Sportive Troyes Aube Champagne;Stade Rennais Football Club;1;1
38;2018-05-19;2018-05-19;FC Nantes;Racing Club Strasbourg Alsace;1;0
38;2018-05-19;2018-05-19;Toulouse Football Club;En Avant de Guingamp;2;1
32;2018-04-08;2018-04-06;Angers SCO;Racing Club Strasbourg Alsace;1;1
32;2018-04-08;2018-04-06;Football Club de Metz;Olympique Lyonnais;0;5
35;2018-04-29;2018-04-27;Montpellier Heraut SC;AS Saint-etienne;0;1
22;2018-01-21;2018-01-19;Stade Rennais Football Club;Angers SCO;1;0
27;2018-02-25;2018-02-23;FC Girondins de Bordeaux;OGC Nice;0;0
34;2018-04-22;2018-04-20;OGC Nice;Montpellier Heraut SC;1;0
24;2018-02-20;2018-02-02;AS Monaco;Olympique Lyonnais;3;2
29;2018-03-11;2018-03-09;LOSC;Montpellier Heraut SC;1;1
